id	name	nation	era	primaryRole
aamer-sohail	Aamer Sohail	Pakistan	1990s	opener
ab-de-villiers	AB de Villiers	South Africa	2000s	middle-order
abdullah-shafique	Abdullah Shafique	Pakistan	2020s	opener
adam-gilchrist	Adam Gilchrist	Australia	legends	wicketkeeper
adam-parore	Adam Parore	New Zealand	1990s	wicketkeeper
aiden-markram	Aiden Markram	South Africa	2020s	middle-order
ajinkya-rahane	Ajinkya Rahane	India	2010s	middle-order
alan-knott	Alan Knott	England	legends	wicketkeeper
alastair-cook	Alastair Cook	England	2000s	opener
alec-stewart	Alec Stewart	England	1990s	wicketkeeper
alex-carey	Alex Carey	Australia	2020s	wicketkeeper
alex-hales	Alex Hales	England	2010s	opener
alex-lees	Alex Lees	England	2020s	opener
alick-athanaze	Alick Athanaze	West Indies	2020s	middle-order
alistair-campbell	Alistair Campbell	Zimbabwe	1990s	opener
allan-border	Allan Border	Australia	1980s	middle-order
allan-lamb	Allan Lamb	England	1980s	middle-order
alvin-kallicharran	Alvin Kallicharran	West Indies	1970s	middle-order
alviro-petersen	Alviro Petersen	South Africa	2010s	opener
andrew-flintoff	Andrew Flintoff	England	legends	all-rounder
andrew-hudson	Andrew Hudson	South Africa	1990s	opener
andrew-jones	Andrew Jones	New Zealand	1980s	opener
andrew-strauss	Andrew Strauss	England	2000s	opener
andy-flower	Andy Flower	Zimbabwe	1990s	wicketkeeper
angelo-mathews	Angelo Mathews	Sri Lanka	2010s	all-rounder
anshuman-gaekwad	Anshuman Gaekwad	India	1970s	opener
aravinda-de-silva	Aravinda de Silva	Sri Lanka	1990s	middle-order
arjuna-ranatunga	Arjuna Ranatunga	Sri Lanka	1990s	middle-order
asad-shafiq	Asad Shafiq	Pakistan	2010s	middle-order
ashwell-prince	Ashwell Prince	South Africa	2000s	middle-order
asif-iqbal	Asif Iqbal	Pakistan	1970s	middle-order
axar-patel	Axar Patel	India	2020s	all-rounder
azhar-ali	Azhar Ali	Pakistan	2010s	middle-order
azhar-mahmood	Azhar Mahmood	Pakistan	1990s	all-rounder
babar-azam	Babar Azam	Pakistan	2010s	middle-order
beau-webster	Beau Webster	Australia	2020s	all-rounder
ben-duckett	Ben Duckett	England	2010s	opener
ben-foakes	Ben Foakes	England	2020s	wicketkeeper
ben-stokes	Ben Stokes	England	2010s	all-rounder
bernard-julien	Bernard Julien	West Indies	1970s	all-rounder
bevan-congdon	Bevan Congdon	New Zealand	1970s	middle-order
bj-watling	BJ Watling	New Zealand	2010s	wicketkeeper
bob-taylor	Bob Taylor	England	1970s	wicketkeeper
brad-haddin	Brad Haddin	Australia	2010s	wicketkeeper
brendan-taylor	Brendan Taylor	Zimbabwe	2000s	middle-order
brendon-mccullum	Brendon McCullum	New Zealand	2000s	wicketkeeper
brian-bennett	brian Bennett	Zimbabwe	2020s	middle-order
brian-lara	Brian Lara	West Indies	legends	middle-order
bruce-edgar	Bruce Edgar	New Zealand	1980s	opener
bryan-young	Bryan Young	New Zealand	1990s	opener
cameron-green	Cameron Green	Australia	2020s	all-rounder
carl-hooper	Carl Hooper	West Indies	1990s	middle-order
chetan-chauhan	Chetan Chauhan	India	1970s	opener
cheteshwar-pujara	Cheteshwar Pujara	India	2010s	middle-order
chris-broad	Chris Broad	England	1980s	opener
chris-cairns	Chris Cairns	New Zealand	1990s	all-rounder
chris-gayle	Chris Gayle	West Indies	2000s	opener
chris-rogers	Chris Rogers	Australia	2010s	opener
clive-lloyd	Clive Lloyd	West Indies	1970s	middle-order
colin-de-grandhomme	Colin de Grandhomme	New Zealand	2010s	all-rounder
courtney-browne	Courtney Browne	West Indies	1990s	wicketkeeper
craig-ervine	Craig Ervine	Zimbabwe	2010s	middle-order
craig-mcmilan	Craig Mcmilan	New Zealand	2000s	middle-order
damien-martyn	Damien Martyn	Australia	1990s	middle-order
daniel-vettori	Daniel Vettori	New Zealand	legends	all-rounder
daren-ganga	Daren Ganga	West Indies	2000s	opener
daryl-mitchell	Daryl Mitchell	New Zealand	2020s	middle-order
daryll-cullinan	Daryll Cullinan	South Africa	1990s	middle-order
dave-richardson	Dave Richardson	South Africa	1990s	wicketkeeper
david-boon	David Boon	Australia	1980s	middle-order
david-gower	David Gower	England	1980s	middle-order
david-warner	David Warner	Australia	2010s	opener
dean-elgar	Dean Elgar	South Africa	2010s	opener
dean-jones	Dean Jones	Australia	1980s	middle-order
denesh-ramdin	Denesh Ramdin	West Indies	2000s	wicketkeeper
dennis-amiss	Dennis Amiss	England	1970s	middle-order
deryck-murray	Deryck Murray	West Indies	1970s	wicketkeeper
desmond-haynes	Desmond Haynes	West Indies	1980s	opener
devdutt-padikkal	Devdutt Padikkal	India	2020s	middle-order
devon-conway	Devon Conway	New Zealand	2020s	opener
devon-smith	Devon Smith	West Indies	2000s	opener
dhananjaya-de-silva	Dhananjaya de Silva	Sri Lanka	2010s	all-rounder
dhruv-jurel	Dhruv Jurel	India	2020s	wicketkeeper
dilip-vengsarkar	Dilip Vengsarkar	India	1980s	middle-order
dimuth-karunaratne	Dimuth Karunaratne	Sri Lanka	2010s	opener
dinesh-chandimal	Dinesh Chandimal	Sri Lanka	2010s	middle-order
don-bradman	Don Bradman	Australia	legends	opener
