id	name	nation	era	primaryRole
abdul-qadir	Abdul Qadir	Pakistan	legends	spinner
abdur-razzak	Abdur Razzak	Bangladesh	2000s	spinner
abrar-ahmed	Abrar Ahmed	Pakistan	2020s	spinner
ajaz-patel	Ajaz Patel	New Zealand	2020s	spinner
alan-hurst	Alan Hurst	Australia	1970s	fast-bowler
allan-donald	Allan Donald	South Africa	1990s	fast-bowler
alzarri-joseph	Alzarri Joseph	West Indies	2010s	fast-bowler
andrew-caddick	Andrew Caddick	England	1990s	fast-bowler
andrew-flintoff	Andrew Flintoff	England	legends	all-rounder
andy-roberts	Andy Roberts	West Indies	1970s	fast-bowler
angelo-mathews	Angelo Mathews	Sri Lanka	2010s	all-rounder
angus-fraser	Angus Fraser	England	1990s	fast-bowler
anil-kumble	Anil Kumble	India	legends	spinner
anrich-nortje	Anrich Nortje	South Africa	2020s	fast-bowler
ashley-giles	Ashley Giles	England	2000s	spinner
ashley-mallett	Ashley Mallett	Australia	1970s	spinner
asitha-fernando	Asitha Fernando	Sri Lanka	2020s	fast-bowler
axar-patel	Axar Patel	India	2020s	all-rounder
azhar-mahmood	Azhar Mahmood	Pakistan	1990s	all-rounder
beau-webster	Beau Webster	Australia	2020s	all-rounder
ben-stokes	Ben Stokes	England	2010s	all-rounder
bernard-julien	Bernard Julien	West Indies	1970s	all-rounder
bishan-bedi	Bishan Bedi	India	1970s	spinner
blessing-muzarabani	Blessing Muzarabani	Zimbabwe	2010s	fast-bowler
bob-willis	Bob Willis	England	1970s	fast-bowler
brett-lee	Brett Lee	Australia	2000s	fast-bowler
bruce-reid	Bruce Reid	Australia	1980s	fast-bowler
bruce-yardley	Bruce Yardley	Australia	1980s	spinner
bryan-strang	Bryan Strang	Zimbabwe	1990s	fast-bowler
bs-chandrasekhar	B.S. Chandrasekhar	India	1970s	spinner
cameron-green	Cameron Green	Australia	2020s	all-rounder
chaminda-vaas	Chaminda Vaas	Sri Lanka	1990s	fast-bowler
champaka -ramanayake 	Champaka  Ramanayake 	Sri Lanka	1990s	fast-bowler
chetan-sharma	Chetan Sharma	India	1980s	fast-bowler
chris-cairns	Chris Cairns	New Zealand	1990s	all-rounder
chris-martin	Chris Martin	New Zealand	2000s	fast-bowler
chris-old	Chris Old	England	1970s	fast-bowler
chris-woakes	Chris Woakes	England	2010s	fast-bowler
christopher-mpofu	Christopher Mpofu	Zimbabwe	2000s	fast-bowler
colin-croft	Colin Croft	West Indies	1970s	fast-bowler
colin-de-grandhomme	Colin de Grandhomme	New Zealand	2010s	all-rounder
courtney-walsh	Courtney Walsh	West Indies	1980s	fast-bowler
curtly-ambrose	Curtly Ambrose	West Indies	legends	fast-bowler
dale-steyn	Dale Steyn	South Africa	legends	fast-bowler
daniel-vettori	Daniel Vettori	New Zealand	legends	all-rounder
danish-kaneria	Danish Kaneria	Pakistan	2000s	spinner
danny-morrison	Danny Morrison	New Zealand	1980s	fast-bowler
darren-gough	Darren Gough	England	1990s	fast-bowler
dayle-hadlee	Dayle Hadlee	New Zealand	1970s	fast-bowler
dennis-lillee	Dennis Lillee	Australia	legends	fast-bowler
derek-underwood	Derek Underwood	England	1970s	spinner
devendra-bishoo	Devendra Bishoo	West Indies	2010s	spinner
dhammika-prasad	Dhammika Prasad	Sri Lanka	2010s	fast-bowler
dhananjaya-de-silva	Dhananjaya de Silva	Sri Lanka	2010s	all-rounder
dilhara-fernando	Dilhara Fernando	Sri Lanka	2000s	fast-bowler
dilruwan-perera	Dilruwan Perera	Sri Lanka	2010s	spinner
dion-nash	Dion Nash	New Zealand	1990s	fast-bowler
dipak-patel	Dipak Patel	New Zealand	1990s	spinner
dominic-cork	Dominic Cork	England	1990s	fast-bowler
donald-tiripano	Donald Tiripano	Zimbabwe	2010s	fast-bowler
dwayne-bravo	Dwayne Bravo	West Indies	2000s	all-rounder
ebadot-hossain	Ebadot Hossain	Bangladesh	2020s	fast-bowler
elton-chigumbura	Elton Chigumbura	Zimbabwe	2000s	all-rounder
erapalli-prasanna	Erapalli Prasanna	India	1970s	spinner
ewen-chatfield	Ewen Chatfield	New Zealand	1970s	fast-bowler
fanie-de-villiers	Fanie de Villiers	South Africa	1990s	fast-bowler
fidel-edwards	Fidel Edwards	West Indies	2000s	fast-bowler
garfield-sobers	Garfield Sobers	West Indies	legends	all-rounder
gary-gilmour	Gary Gilmour	Australia	1970s	fast-bowler
geoff-lawson	Geoff Lawson	Australia	1980s	fast-bowler
gladstone-small	Gladstone Small	England	1980s	fast-bowler
glenn-mcgrath	Glenn McGrath	Australia	legends	fast-bowler
graeme-cremer	Graeme Cremer	Zimbabwe	2000s	spinner
graeme-swann	Graeme Swann	England	2010s	spinner
greg-matthews	Greg Matthews	Australia	1980s	all-rounder
gus-atkinson	Gus Atkinson	England	2020s	fast-bowler
harbhajan-singh	Harbhajan Singh	India	2000s	spinner
hasan-Mahmud	Hasan Mahmud	Bangladesh	2020s	fast-bowler
heath-streak	Heath Streak	Zimbabwe	1990s	all-rounder
henry-olonga	Henry Olonga	Zimbabwe	1990s	fast-bowler
ian-bishop	Ian Bishop	West Indies	1990s	fast-bowler
ian-botham	Ian Botham	England	legends	all-rounder
imran-khan	Imran Khan	Pakistan	legends	all-rounder
imran-tahir	Imran Tahir	South Africa	2010s	spinner
intikhab-alam	Intikhab Alam	Pakistan	1970s	all-rounder
iqbal-qasim	Iqbal Qasim	Pakistan	1980s	spinner
irfan-pathan	Irfan Pathan	India	2000s	all-rounder
ish-sodhi	Ish Sodhi	New Zealand	2010s	spinner
ishant-sharma	Ishant Sharma	India	2000s	fast-bowler
jack-leach	Jack Leach	England	2020s	spinner
jacques-kallis	Jacques Kallis	South Africa	legends	all-rounder
james-anderson	James Anderson	England	2000s	fast-bowler
james-franklin	James Franklin	New Zealand	2000s	all-rounder
james-pattinson	James Pattinson	Australia	2010s	fast-bowler
jason-gillespie	Jason Gillespie	Australia	1990s	fast-bowler
jason-holder	Jason Holder	West Indies	2010s	all-rounder
jasprit-bumrah	Jasprit Bumrah	India	2020s	fast-bowler
javagal-srinath	Javagal Srinath	India	1990s	fast-bowler
jayden-seales	Jayden Seales	West Indies	2020s	fast-bowler
jeetan-patel	Jeetan Patel	New Zealand	2000s	spinner
jeff-thomson	Jeff Thomson	Australia	1970s	fast-bowler
jerome-taylor	Jerome Taylor	West Indies	2000s	fast-bowler
jim-laker	Jim Laker	England	legends	spinner
joel-garner	Joel Garner	West Indies	1970s	fast-bowler
jofra-archer	Jofra Archer	England	2020s	fast-bowler
john-emburey	John Emburey	England	1980s	spinner
john-snow	John Snow	England	1970s	fast-bowler
