,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
0,SR Tendulkar,1989-2013,200,329,33,15921,248*,53.78,51,68,14,,IND
1,RT Ponting,1995-2012,168,287,29,13378,257,51.85,41,62,17,,AUS
2,JH Kallis,1995-2013,166,280,40,13289,224,55.37,45,58,16,,ICC/SA
3,R Dravid,1996-2012,164,286,32,13288,270,52.31,36,63,8,,ICC/IND
4,AN Cook,2006-2018,161,291,16,12472,294,45.35,33,57,9,,ENG
5,KC Sangakkara,2000-2015,134,233,17,12400,319,57.40,38,52,11,,SL
6,BC Lara,1990-2006,131,232,6,11953,400*,52.88,34,48,17,,ICC/WI
7,S Chanderpaul,1994-2015,164,280,49,11867,203*,51.37,30,66,15,,WI
8,DPMD Jayawardene,1997-2014,149,252,15,11814,374,49.84,34,50,15,,SL
9,JE Root,2012-2024,137,251,20,11468,254,49.64,30,60,12,,ENG
10,AR Border,1978-1994,156,265,44,11174,205,50.56,27,63,11,,AUS
11,SR Waugh,1985-2004,168,260,46,10927,200,51.06,32,50,22,,AUS
12,SM Gavaskar,1971-1987,125,214,16,10122,236*,51.12,34,45,12,,IND
13,Younis Khan,2000-2017,118,213,19,10099,313,52.05,34,33,19,,PAK
14,SPD Smith,2010-2024,107,191,25,9634,239,58.03,32,41,9,,AUS
15,HM Amla,2004-2019,124,215,16,9282,311*,46.64,28,41,13,,SA
16,GC Smith,2002-2014,117,205,13,9265,277,48.25,27,38,11,,ICC/SA
17,GA Gooch,1975-1995,118,215,6,8900,333,42.58,20,46,13,,ENG
18,V Kohli,2011-2024,113,191,11,8848,254*,49.15,29,30,14,,IND
19,Javed Miandad,1976-1993,124,189,21,8832,280*,52.57,23,43,6,,PAK
20,Inzamam-ul-Haq,1992-2007,120,200,22,8830,329,49.60,25,46,15,,ICC/PAK
21,DA Warner,2011-2024,112,205,8,8786,335*,44.59,26,37,13,,AUS
22,VVS Laxman,1996-2012,134,225,34,8781,281,45.97,17,56,14,,IND
23,AB de Villiers,2004-2018,114,191,18,8765,278*,50.66,22,46,8,,SA
24,MJ Clarke,2004-2015,115,198,22,8643,329*,49.10,28,27,9,,AUS
25,ML Hayden,1994-2009,103,184,14,8625,380,50.73,30,29,14,,AUS
26,V Sehwag,2001-2013,104,180,6,8586,319,49.34,23,32,16,,ICC/IND
27,IVA Richards,1974-1991,121,182,12,8540,291,50.23,24,45,10,,WI
28,KS Williamson,2010-2024,98,171,16,8533,251,55.05,31,33,10,,NZ
29,AJ Stewart,1990-2003,133,235,21,8463,190,39.54,15,45,14,,ENG
30,DI Gower,1978-1992,117,204,18,8231,215,44.25,18,39,7,,ENG
31,KP Pietersen,2005-2014,104,181,8,8181,227,47.28,23,35,10,,ENG
32,G Boycott,1964-1982,108,193,23,8114,246*,47.72,22,42,10,,ENG
33,GS Sobers,1954-1974,93,160,21,8032,365*,57.78,26,30,12,,WI
34,ME Waugh,1991-2002,128,209,17,8029,153*,41.81,20,47,19,,AUS
35,MA Atherton,1989-2001,115,212,7,7728,185*,37.69,16,46,20,,ENG
36,IR Bell,2004-2015,118,205,24,7727,235,42.69,22,46,14,,ENG
37,JL Langer,1993-2007,105,182,12,7696,250,45.27,23,30,11,,AUS
38,LRPL Taylor,2007-2022,112,196,24,7683,290,44.66,19,35,14,,NZ
39,MC Cowdrey,1954-1975,114,188,15,7624,182,44.06,22,38,9,,ENG
40,CG Greenidge,1974-1991,108,185,16,7558,226,44.72,19,34,11,,WI
41,Mohammad Yousuf,1998-2010,90,156,12,7530,223,52.29,24,33,11,,PAK
42,MA Taylor,1989-1999,104,186,13,7525,334*,43.49,19,40,5,,AUS
43,CH Lloyd,1966-1985,110,175,14,7515,242*,46.67,19,39,4,,WI
44,AD Mathews,2009-2024,107,189,26,7502,200*,46.02,16,40,5,,SL
45,DL Haynes,1978-1994,116,202,25,7487,184,42.29,18,39,10,,WI
46,DC Boon,1984-1996,107,190,20,7422,200,43.65,21,32,16,,AUS
47,G Kirsten,1993-2004,101,176,15,7289,275,45.27,21,34,13,,SA
48,WR Hammond,1927-1947,85,140,16,7249,336*,58.45,22,24,4,,ENG
49,CH Gayle,2000-2014,103,182,11,7214,333,42.18,15,37,15,,WI
