Jeremy Coney,,,,,,,,,,,,
"New Zealand cricketer
",,,,,,,,,,,,
Middle Order,,,,,,,,,,,,
Right-Handed Batsman,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","NO
Not Outs","Runs
Runs","HS
High Score","Avg
Average","BF
Balls Faced","SR
Strike Rate","100s
Hundreds","50s
Fifties","4s
Fours","6s
Sixes"
,,,,,,,,,,,,
"Test
Test
1974–87
1974–87","52
52","85
85","14
14","2668
2668","174*
174*","37.6
37.6","-
-","-
-","3
3","16
16","-
-","-
-"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Career Bowling Stats,,,,,,,,,,,,
Right-Arm Medium Bowler,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","B
Balls Bowled","Mdn
Maidens","Runs
Runs Given","W
Wickets","BB
Best Bowling","Econ
Economy Rate","Avg
Average","SR
Strike Rate","4W
4 Wicket Hauls","5W
5 Wicket Hauls"
,,,,,,,,,,,,
"Test
Test
1974–87
1974–87","52
52","53
53","2835
2835","135
135","966
966","27
27","3/28
3/28","2.04
2.04","35.8
35.8","105.0
105.0","0
0",0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Hedley Howarth,,,,,,,,,,,,
Cricketer,,,,,,,,,,,,
OverviewStats,,,,,,,,,,,,
Stats,,,,,,,,,,,,
Career Bowling Stats,,,,,,,,,,,,
Left-Arm Off Spin Bowler,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","B
Balls Bowled","Mdn
Maidens","Runs
Runs Given","W
Wickets","BB
Best Bowling","Econ
Economy Rate","Avg
Average","SR
Strike Rate","4W
4 Wicket Hauls","5W
5 Wicket Hauls"
,,,,,,,,,,,,
"Test
Test
1969–77
1969–77","30
30","50
50","8833
8833","393
393","3178
3178","86
86","5/34
5/34","2.16
2.16","37.0
37.0","102.7
102.7","5
5",2
,,,,,,,,,,,,
,,,,,,,,,,,,
Career Batting Stats,,,,,,,,,,,,
Left-Handed Batsman,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","NO
Not Outs","Runs
Runs","HS
High Score","Avg
Average","BF
Balls Faced","SR
Strike Rate","100s
Hundreds","50s
Fifties","4s
Fours","6s
Sixes"
,,,,,,,,,,,,
"Test
Test
1969–77
1969–77","30
30","42
42","18
18","291
291","61
61","12.1
12.1","-
-","-
-","0
0","1
1","-
-",-
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Geoff Howarth,,,,,,,,,,,,
Former New Zealand cricketer,,,,,,,,,,,,
OverviewStats,,,,,,,,,,,,
Stats,,,,,,,,,,,,
Career Batting Stats,,,,,,,,,,,,
Right-Handed Batsman,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","NO
Not Outs","Runs
Runs","HS
High Score","Avg
Average","BF
Balls Faced","SR
Strike Rate","100s
Hundreds","50s
Fifties","4s
Fours","6s
Sixes"
,,,,,,,,,,,,
"Test
Test
1975–85
1975–85","47
47","83
83","5
5","2531
2531","147
147","32.5
32.5","-
-","-
-","6
6","11
11","-
-",-
,,,,,,,,,,,,
Career Bowling Stats,,,,,,,,,,,,
Right-Arm Off Spin Bowler,,,,,,,,,,,,
"Format
Format","M
Matches","Inn
Innings","B
Balls Bowled","Mdn
Maidens","Runs
Runs Given","W
Wickets","BB
Best Bowling","Econ
Economy Rate","Avg
Average","SR
Strike Rate","4W
4 Wicket Hauls","5W
5 Wicket Hauls"
,,,,,,,,,,,,
"Test
Test
1975–85
1975–85","47
47","20
20","614
614","20
20","271
271","3
3","1/13
1/13","2.65
2.65","90.3
90.3","204.7
204.7","0
0",0
